"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX970101_Educational_Impact_Coronavirus_Household_Members_Preschool","How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: preschool or day care.","DCW_970101.doc","enumerated","","","","","","","PhenX","PX970101010100","","","","","0","1","2","3","4","5","6","7","8","9","10","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Other_8","What are [uas_coronavirus_children_high_school_name_8]'s current plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201808","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_Changed_8","Have [uas_coronavirus_children_high_school_name_8]'s plans changed because of the coronavirus epidemic or school closures?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201809","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Plans_8","What were [uas_coronavirus_children_high_school_name_8]'s previous plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201810","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Military_8","What were [uas_coronavirus_children_high_school_name_8]'s previous plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201811","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Employment_8","What were [uas_coronavirus_children_high_school_name_8]'s previous plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201812","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Technical_Training_8","What were [uas_coronavirus_children_high_school_name_8]'s previous plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201813","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Community_College_8","What were [uas_coronavirus_children_high_school_name_8]'s previous plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201814","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_College_8","What were [uas_coronavirus_children_high_school_name_8]'s previous plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201815","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Remain_8","What were [uas_coronavirus_children_high_school_name_8]'s previous plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201816","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Other_8","What were [uas_coronavirus_children_high_school_name_8]'s previous plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 7","","PhenX","PX970101201817","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_9","What are [uas_coronavirus_children_high_school_name_9]'s current plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201901","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Military_9","What are [uas_coronavirus_children_high_school_name_9]'s current plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201902","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Employment_9","What are [uas_coronavirus_children_high_school_name_9]'s current plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201903","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Technical_Training_9","What are [uas_coronavirus_children_high_school_name_9]'s current plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201904","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Community_College_9","What are [uas_coronavirus_children_high_school_name_9]'s current plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201905","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_College_9","What are [uas_coronavirus_children_high_school_name_9]'s current plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201906","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Remain_9","What are [uas_coronavirus_children_high_school_name_9]'s current plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201907","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Other_9","What are [uas_coronavirus_children_high_school_name_9]'s current plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201908","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_Changed_9","Have [uas_coronavirus_children_high_school_name_9]'s plans changed because of the coronavirus epidemic or school closures?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201909","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Plans_9","What were [uas_coronavirus_children_high_school_name_9]'s previous plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201910","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Military_9","What were [uas_coronavirus_children_high_school_name_9]'s previous plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201911","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Employment_9","What were [uas_coronavirus_children_high_school_name_9]'s previous plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201912","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Technical_Training_9","What were [uas_coronavirus_children_high_school_name_9]'s previous plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201913","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Community_College_9","What were [uas_coronavirus_children_high_school_name_9]'s previous plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201914","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_College_9","What were [uas_coronavirus_children_high_school_name_9]'s previous plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201915","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Remain_9","What were [uas_coronavirus_children_high_school_name_9]'s previous plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201916","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Other_9","What were [uas_coronavirus_children_high_school_name_9]'s previous plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 8","","PhenX","PX970101201917","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_10","What are [uas_coronavirus_children_high_school_name_10]'s current plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202001","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Military_10","What are [uas_coronavirus_children_high_school_name_10]'s current plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202002","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Employment_10","What are [uas_coronavirus_children_high_school_name_10]'s current plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202003","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Technical_Training_10","What are [uas_coronavirus_children_high_school_name_10]'s current plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202004","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Community_College_10","What are [uas_coronavirus_children_high_school_name_10]'s current plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202005","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_College_10","What are [uas_coronavirus_children_high_school_name_10]'s current plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202006","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Remain_10","What are [uas_coronavirus_children_high_school_name_10]'s current plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202007","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Other_10","What are [uas_coronavirus_children_high_school_name_10]'s current plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202008","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Plans_Changed_10","Have [uas_coronavirus_children_high_school_name_10]'s plans changed because of the coronavirus epidemic or school closures?","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202009","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Plans_10","What were [uas_coronavirus_children_high_school_name_10]'s previous plans for after high school? Please mark all that apply. No plans","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202010","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Military_10","What were [uas_coronavirus_children_high_school_name_10]'s previous plans for after high school? Please mark all that apply. Military","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202011","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Employment_10","What were [uas_coronavirus_children_high_school_name_10]'s previous plans for after high school? Please mark all that apply. Employment","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202012","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Technical_Training_10","What were [uas_coronavirus_children_high_school_name_10]'s previous plans for after high school? Please mark all that apply. Technical training","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202013","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Community_College_10","What were [uas_coronavirus_children_high_school_name_10]'s previous plans for after high school? Please mark all that apply. Community college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202014","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_College_10","What were [uas_coronavirus_children_high_school_name_10]'s previous plans for after high school? Please mark all that apply. Four-year college","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202015","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Remain_10","What were [uas_coronavirus_children_high_school_name_10]'s previous plans for after high school? Please mark all that apply. Remain in high school","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202016","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_Children_High_School_Previous_Other_10","What were [uas_coronavirus_children_high_school_name_10]'s previous plans for after high school? Please mark all that apply. Other","DCW_970101.doc","enumerated","","","","","ASK IF 'How many household members are currently in Grade 12?' > 9","","PhenX","PX970101202017","","","","","Yes","No","Unsure","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Suspended_Childcare","Who is mainly responsible for providing child care while school is suspended or canceled? You","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101210100","","","","","Yes","No","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Suspended_Childcare_Spouse","Who is mainly responsible for providing child care while school is suspended or canceled? Your spouse or partner","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101210200","","","","","Yes","No","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Suspended_Childcare_Sibling","Who is mainly responsible for providing child care while school is suspended or canceled? A sibling","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101210300","","","","","Yes","No","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Suspended_Childcare_Extended_Family","Who is mainly responsible for providing child care while school is suspended or canceled? Other extended family members such as grandparents, aunts and uncles, and","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101210400","","","","","Yes","No","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Suspended_Childcare_Cousins","Who is mainly responsible for providing child care while school is suspended or canceled? cousins.","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101210500","","","","","Yes","No","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Suspended_Childcare_Paid_Provider","Who is mainly responsible for providing child care while school is suspended or canceled? A paid child care provider such as a nanny or au pair","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101210600","","","","","Yes","No","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Suspended_Childcare_Facility","Who is mainly responsible for providing child care while school is suspended or canceled? A child care facility not located in your home","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101210700","","","","","Yes","No","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Suspended_Childcare_Other","Who is mainly responsible for providing child care while school is suspended or canceled? Other","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101210801","","","","","Yes","No","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Suspended_Childcare_Other_Specify","Who is mainly responsible for providing child care while school is suspended or canceled? Other, specify:","DCW_970101.doc","string","","","","","ASK IF 'Who is mainly responsible for providing child care while school is suspended or canceled? Other' = 'Yes'","","PhenX","PX970101210802","","","","","","","","","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Suspended_Childcare_Affordability","How easy or difficult has it been for you to find affordable child care while school is suspended or canceled?","DCW_970101.doc","enumerated","","","","","ASK IF ('How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: preschool or day care.' > 0 OR 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: elementary school' > 0 OR 'How many members of your household are currently enrolled in preschool or daycare, primary school, middle school, high school, or post-secondary school? Count yourself if you are enrolled in school: middle school or junior high' > 0) AND ('Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0)","","PhenX","PX970101220000","","","","","Very easy","Somewhat easy","Somewhat difficult","Very difficult","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Closure_Difficulty_Household_Tasks","Do you agree or disagree with the following statement? School closures made it difficult for me to work or do other household tasks.","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101230100","","","","","Strongly disagree","Disagree","Agree","Strongly agree","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Closure_Communication_Learning","Do you agree or disagree with the following statement? I am satisfied with the communication to support learning from my child's/children's school(s).","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101230200","","","","","Strongly disagree","Disagree","Agree","Strongly agree","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Closure_Preparedness","Do you agree or disagree with the following statement? My child/children will be prepared for school in the next school year.","DCW_970101.doc","enumerated","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101230300","","","","","Strongly disagree","Disagree","Agree","Strongly agree","","","","","","","","","","","","",""
"PX970101_Educational_Impact_Coronavirus_School_Closure_End","What is the earliest that you think any of your children's schools will resume in person?","DCW_970101.doc","date","","","","","ASK IF 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in preschool or day care, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in middle school or junior high, how many have had school suspended or canceled because of the coronavirus?' > 0 OR 'Of the household members enrolled in high school, how many have had school suspended or canceled because of the coronavirus?' > 0","","PhenX","PX970101240000","","","","","","","","","","","","","","","","","","","","",""
