VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,ASK IF Q1.6.1 = Yes,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Strong_Urge_Desire,"In your entire life, Did you EVER feel a very strong urge or desire to use a medicine or drug?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402390100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Strong_Urge_Desire_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402390200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Strong_Urge_Desire_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402390300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Strong_Urge_Desire_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402390400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Strong_Urge_Desire_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402390500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Preoccupied,"In your entire life, Did you EVER want a medicine or drug so badly that you couldn’t think of anything else?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402400100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Preoccupied_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402400200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Preoccupied_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402400300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Preoccupied_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402400400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Preoccupied_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402400500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Spouse_Argument,"In your entire life, Did you EVER have arguments with your spouse or partner or family or friends as a result of your medicine or drug use?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402410100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Spouse_Argument_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402410200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Spouse_Argument_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402410300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Spouse_Argument_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402410400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Spouse_Argument_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402410500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Family_Trouble,"In your entire life, Did you EVER continue to use a medicine or drug even though it was causing you trouble with your family or friends?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402420100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Family_Trouble_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402420200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Family_Trouble_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402420300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Family_Trouble_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402420400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Family_Trouble_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402420500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Physical_Fights,"In your entire life, Did you EVER get into physical fights while under the influence of a medicine or drug?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402430100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Physical_Fights_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402430200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Physical_Fights_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402430300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Physical_Fights_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402430400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Physical_Fights_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402430500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_School_Work_Trouble,"In your entire life, Did you EVER have job or school troubles as a result of your medicine or drug use-like missing too much work, not doing your work well, being demoted or losing a job, or being suspended, expelled or dropping out of school?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402440100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_School_Work_Trouble_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402440200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_School_Work_Trouble_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402440300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_School_Work_Trouble_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402440400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_School_Work_Trouble_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402440500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_School_Work,"In your entire life, Did you EVER continue to use a medicine or drug even though it was causing you problems at school or work?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402450100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_School_Work_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402450200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_School_Work_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402450300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_School_Work_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402450400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Continue_Use_School_Work_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402450500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Sick,"In your entire life, Did you EVER have a period when your medicine or drug use or your being sick from medicine or drug use often interfered with taking care of your home or family?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402460100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sick_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402460200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sick_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402460300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Sick_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402460400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sick_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402460500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Vehicle_Under_Influence_Multiple_Times,"In your entire life, Did you EVER more than once drive a car, motorcycle, truck, boat, or other vehicle when you were under the influence of a medicine or drug?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402470100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Vehicle_Under_Influence_Multiple_Times_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402470200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Vehicle_Under_Influence_Multiple_Times_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402470300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Vehicle_Under_Influence_Multiple_Times_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402470400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Vehicle_Under_Influence_Multiple_Times_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402470500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Injury,"In your entire life, Did you EVER find yourself under the influence of a medicine or drug or feeling its aftereffects in situations that increased your chances of getting hurt-like swimming; using heavy machinery or equipment; or walking in a dangerous area or around heavy traffic?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402480100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Injury_Past_Year,Did this happen in the last 12 months?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402480200,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Injury_Past_Year_Drug_Name,"During the last 12 months, which medicines or drugs did this happen with?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402480300,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Injury_Prior_Last_Year,"Did this happen before 12 months ago, that is, before last (Month one year ago)?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402480400,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_After_Effects_Injury_Prior_Last_Year_Drug_Names,Which medicines or drugs did this happen with before 12 months ago?,DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402480500,,,,,1 = SED,2 = PAN,3 = MAR,4 = COC,5 = STIM,6 = CLB,7 = HAL,8 = SOLV,9 = HER,10 = OTH
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Experiences_Prior_Last_Year,"You just mentioned some experience you had with sedatives or tranquilizers in the past, that is, before 12 months ago. Before last (Month one year ago) was there ever a period when SOME of these experiences withsedatives or tranquilizers were happening around the same time most days for at least a month (PAUSE), on and off for a few months or longer (PAUSE) or within the same 1-year period?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402490100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Experiences_First_Time_Age,About how old were you the FIRST time SOME of these experiences with sedatives or tranquilizers BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402490200,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Experiences_Number_Lifetime,"In your ENTIRE LIFE how many separate periods like this did you have when some of these experiences with sedatives or tranquilizers were happening around the same time?

By separate periods, I mean times separated by at least a year when you EITHER STOPPED using sedatives or tranquilizers entirely (PAUSE) OR you didn�t have any of the experiences you just mentioned with sedatives or tranquilizers.",DCW_031402.doc,integer,,,,,,,PhenX,PX031402490300,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Experiences_Longest_Period_Months,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with sedatives or tranquilizers were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402490400,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Experiences_Longest_Period_Years,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with sedatives or tranquilizers were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402490500,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Experiences_Recent_Period_Age,About how old were you the MOST RECENT time when some of these experiences BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402490600,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Experiences_Recent_Period_Months,How long did this period last when some of these experiences with sedatives or tranquilizers were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402490700,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Experiences_Recent_Period_Years,How long did this period last when some of these experiences with sedatives or tranquilizers were happening around the same time? Years,DCW_031402.doc,years,years,,,,,,PhenX,PX031402490800,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Sedatives_Tranquilizers_Stopped_Age,"About how old were you when you FINALLY STOPPED having these problems with sedatives or tranquilizers? By finally stopped, I mean they never started happening again.",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402490900,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Experiences_Prior_Last_Year,"You just mentioned some experience you had with painkillers in the past, that is, before 12 months ago. Before last (Month one year ago) was there ever a period when SOME of these experiences withpainkillers were happening around the same time most days for at least a month (PAUSE), on and off for a few months or longer (PAUSE) or within the same 1-year period?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402500100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Experiences_First_Time_Age,About how old were you the FIRST time SOME of these experiences with painkillers BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402500200,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Experiences_Number_Lifetime,"In your ENTIRE LIFE how many separate periods like this did you have when some of these experiences with painkillers were happening around the same time? By separate periods, I mean times separated by at least a year when you EITHER STOPPED using painkillers entirely (PAUSE) OR you didn�t have any of the experiences you just mentioned with painkillers.",DCW_031402.doc,integer,,,,,,,PhenX,PX031402500300,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Experiences_Longest_Period_Months,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with painkillers were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402500400,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Experiences_Longest_Period_Years,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with painkillers were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402500500,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Experiences_Recent_Period_Age,About how old were you the MOST RECENT time when some of these experiences BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402500600,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Experiences_Recent_Period_Months,How long did this period last when some of these experiences with painkillers were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402500700,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Experiences_Recent_Period_Years,How long did this period last when some of these experiences with painkillers were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402500800,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Painkillers_Stopped_Age,"About how old were you when you FINALLY STOPPED having these problems with painkillers? By finally stopped, I mean they never started happening again.",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402500900,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Marijuana_Experiences_Prior_Last_Year,"You just mentioned some experience you had with marijuana in the past, that is, before 12 months ago. Before last (Month one year ago) was there ever a period when SOME of these experiences withmarijuana were happening around the same time most days for at least a month (PAUSE), on and off for a few months or longer (PAUSE) or within the same 1-year period?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402510100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Marijuana_Experiences_First_Time_Age,About how old were you the FIRST time SOME of these experiences with marijuana BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402510200,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Marijuana_Experiences_Number_Lifetime,"In your ENTIRE LIFE how many separate periods like this did you have when some of these experiences with marijuana were happening around the same time?

By separate periods, I mean times separated by at least a year when you EITHER STOPPED using marijuana entirely (PAUSE) OR you didn�t have any of the experiences you just mentioned with marijuana.",DCW_031402.doc,integer,,,,,,,PhenX,PX031402510300,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Marijuana_Experiences_Longest_Period_Months,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with marijuana were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402510400,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Marijuana_Experiences_Longest_Period_Years,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with marijuana were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402510500,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Marijuana_Experiences_Recent_Period_Age,About how old were you the MOST RECENT time when some of these experiences BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402510600,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Marijuana_Experiences_Recent_Period_Months,How long did this period last when some of these experiences with marijuana were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402510700,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Marijuana_Experiences_Recent_Period_Years,How long did this period last when some of these experiences with marijuana were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402510800,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Marijuana_Stopped_Age,"About how old were you when you FINALLY STOPPED having these problems with marijuana? By finally stopped, I mean they never started happening again.",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402510900,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Cocaine_Crack_Experiences_Prior_Last_Year,"You just mentioned some experience you had with cocaine or crack in the past, that is, before 12 months ago. Before last (Month one year ago) was there ever a period when SOME of these experiences withcocaine or crack were happening around the same time most days for at least a month (PAUSE), on and off for a few months or longer (PAUSE) or within the same 1-year period?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402520100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Cocaine_Crack_Experiences_First_Time_Age,About how old were you the FIRST time SOME of these experiences with cocaine or crack BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402520200,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Cocaine_Crack_Experiences_Number_Lifetime,"In your ENTIRE LIFE how many separate periods like this did you have when some of these experiences with cocaine or crack were happening around the same time?

By separate periods, I mean times separated by at least a year when you EITHER STOPPED using cocaine or crack entirely (PAUSE) OR you didn�t have any of the experiences you just mentioned with cocaine or crack.",DCW_031402.doc,integer,,,,,,,PhenX,PX031402520300,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Cocaine_Crack_Experiences_Longest_Period_Months,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with cocaine or crack were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402520400,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Cocaine_Crack_Experiences_Longest_Period_Years,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with cocaine or crack were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402520500,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Cocaine_Crack_Experiences_Recent_Period_Age,About how old were you the MOST RECENT time when some of these experiences BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402520600,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Cocaine_Crack_Experiences_Recent_Period_Months,How long did this period last when some of these experiences with cocaine or crack were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402520700,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Cocaine_Crack_Experiences_Recent_Period_Years,How long did this period last when some of these experiences with cocaine or crack were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402520800,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Cocaine_Crack_Stopped_Age,"About how old were you when you FINALLY STOPPED having these problems with cocaine or crack? By finally stopped, I mean they never started happening again.",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402520900,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Experiences_Prior_Last_Year,"You just mentioned some experience you had with stimulants in the past, that is, before 12 months ago. Before last (Month one year ago) was there ever a period when SOME of these experiences withstimulants were happening around the same time most days for at least a month (PAUSE), on and off for a few months or longer (PAUSE) or within the same 1-year period?",DCW_031402.doc,encoded values,,,,,,,PhenX,PX031402530100,,,,,1 = Yes,2 = No,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Experiences_First_Time_Age,About how old were you the FIRST time SOME of these experiences with stimulants BEGAN to happen around the same time?,DCW_031402.doc,integer,,,,,,,PhenX,PX031402530200,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Experiences_Number_Lifetime,"In your ENTIRE LIFE how many separate periods like this did you have when some of these experiences with stimulants were happening around the same time?

By separate periods, I mean times separated by at least a year when you EITHER STOPPED using stimulants entirely (PAUSE) OR you didn�t have any of the experiences you just mentioned with stimulants.",DCW_031402.doc,integer,,,,,,,PhenX,PX031402530300,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Experiences_Longest_Period_Months,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with stimulants were happening around the same time? Months,DCW_031402.doc,integer,months,,,,,,PhenX,PX031402530400,,,,,,,,,,,,,,
PX031402_Substances_Lifetime_Abuse_Dependence_Stimulants_Experiences_Longest_Period_Years,In your ENTIRE LIFE what was the LONGEST period you had when SOME of these experiences with stimulants were happening around the same time? Years,DCW_031402.doc,integer,years,,,,,,PhenX,PX031402530500,,,,,,,,,,,,,,
