VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Month,Date Abstracted - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Day,Date Abstracted - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstracted_Date_Year,Date Abstracted - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401010300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Abstractor_ID,Abstractor ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401020000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Nosologist_ID,Nosologist ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401030000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_CTR_ID,CTR ID Number,DCW_190401.doc,integer,,0,9999,,,,PhenX,PX190401040000,,,,,0..9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Study_Year,Study Year,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401050000,,,,,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_3_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_3_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_4,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401130501,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_4,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401130502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_4,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401130503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_4_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_4_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_4_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_5,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401130601,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_5,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401130602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_5,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401130603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_5_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_5_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_5_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_6,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401130701,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_6,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401130702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_6,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401130703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_6_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_6_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_6_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_7,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401130801,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_7,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401130802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_7,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401130803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_7_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_7_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_7_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_8,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401130901,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_8,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401130902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_8,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401130903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_8_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_8_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_8_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401130906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_9,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401131001,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_9,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401131002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_9,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401131003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_9_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_9_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_9_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_10,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401131101,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_10,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401131102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_10,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401131103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_10_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_10_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_10_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_11,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401131201,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_11,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401131202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_11,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401131203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_11_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_11_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_11_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Type_12,TYPE OF PROCEDURE,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401131301,,,,,01 = Abdominal flat plate (plain film),02 = Barium enema radiograph,03 = Biopsy (SPECIFY),04 = Chest radiograph,05 = Clinical evaluation,06 = CT scan - abdominal,07 = CT scan - other (SPECIFY),08 = CT scan - pelvic,09 = Cystoscopy,10 = DRE,11 = Intravenous pyelography (IVP)/excretory urography,12 = MRI scan - abdominal,13 = MRI scan - other (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_CEA_Value_12,TYPE OF PROCEDURE - CEA VALUE,DCW_190401.doc,decimal,,,,,,,PhenX,PX190401131302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Specify_12,TYPE OF PROCEDURE - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401131303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_12_Day,DATE OF PROCEDURE - Day,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_12_Month,DATE OF PROCEDURE - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Date_12_Year,DATE OF PROCEDURE - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401131306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Other_Procedure_Supplement_Form_Completed,DIAGNOSTIC/STAGING PROCEDURES SUPPLEMENT FORM COMPLETED,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401131400,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Medical_Complications,Medical Complications of Diagnostic Evaluation and Staging,DCW_190401.doc,enumerated,,,,,,,PhenX,PX190401140100,,,,,No,Yes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_1,TYPE OF COMPLICATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401140201,,,,,1 = Infection (SPECIFY),2 = Fever requiring antibiotics,3 = Perforation,4 = Hemorrhage,6 = Respiratory arrest,20 = Cardiac arrest,22 = Hospitalization,23 = Pulmonary embolus/emboli,24 = Myocardial infarction,25 = Cardiac arrhythmia,26 = Cerebral vascular accident (CVA)/Stroke,27 = Blood loss requiring transfusion,28 = Deep venous thrombosis (DVT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_Specify_1,TYPE OF COMPLICATION- Infection - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401140202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_1_Month,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_1_Day,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_1_Year,DATE OF COMPLICATION - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_2,TYPE OF COMPLICATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401140301,,,,,1 = Infection (SPECIFY),2 = Fever requiring antibiotics,3 = Perforation,4 = Hemorrhage,6 = Respiratory arrest,20 = Cardiac arrest,22 = Hospitalization,23 = Pulmonary embolus/emboli,24 = Myocardial infarction,25 = Cardiac arrhythmia,26 = Cerebral vascular accident (CVA)/Stroke,27 = Blood loss requiring transfusion,28 = Deep venous thrombosis (DVT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_Specify_2,TYPE OF COMPLICATION - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401140302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_2_Month,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_2_Day,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_2_Year,DATE OF COMPLICATION - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_3,TYPE OF COMPLICATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401140401,,,,,1 = Infection (SPECIFY),2 = Fever requiring antibiotics,3 = Perforation,4 = Hemorrhage,6 = Respiratory arrest,20 = Cardiac arrest,22 = Hospitalization,23 = Pulmonary embolus/emboli,24 = Myocardial infarction,25 = Cardiac arrhythmia,26 = Cerebral vascular accident (CVA)/Stroke,27 = Blood loss requiring transfusion,28 = Deep venous thrombosis (DVT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_Specify_3,TYPE OF COMPLICATION - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401140402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_3_Month,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_3_Day,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_3_Year,DATE OF COMPLICATION - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_4,TYPE OF COMPLICATION,DCW_190401.doc,encoded values,,,,,,,PhenX,PX190401140501,,,,,1 = Infection (SPECIFY),2 = Fever requiring antibiotics,3 = Perforation,4 = Hemorrhage,6 = Respiratory arrest,20 = Cardiac arrest,22 = Hospitalization,23 = Pulmonary embolus/emboli,24 = Myocardial infarction,25 = Cardiac arrhythmia,26 = Cerebral vascular accident (CVA)/Stroke,27 = Blood loss requiring transfusion,28 = Deep venous thrombosis (DVT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Type_Specify_4,TYPE OF COMPLICATION - SPECIFY,DCW_190401.doc,string,,,,,,,PhenX,PX190401140502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_4_Month,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_4_Day,DATE OF COMPLICATION - Month,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX190401_Complication_Date_4_Year,DATE OF COMPLICATION - Year,DCW_190401.doc,integer,,,,,,,PhenX,PX190401140505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
