VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UR2M_DF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Right 2M (UR2M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101010100,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRLI_ML_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right LI (LRLI) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101131400,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRLI_ML_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right LI (LRLI) at the mid-lingual (ML) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101131500,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRLI_DL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right LI (LRLI) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101131600,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRLI_DL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right LI (LRLI) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101131700,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRLI_DL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right LI (LRLI) at the distal-lingual (DL) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101131800,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_DF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101140100,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_DF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101140200,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_DF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the distal facial (DF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101140300,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_MF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101140400,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_MF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101140500,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_MF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mid-facial (MF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101140600,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_MeF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101140700,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_MeF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101140800,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_MeF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mesial-facial (MeF)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101140900,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_MeL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101141000,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_MeL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101141100,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_MeL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mesial-lingual (MeL)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101141200,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_ML_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101141300,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_ML_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101141400,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_ML_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the mid-lingual (ML) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101141500,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_DL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101141600,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_DL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101141700,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_LRCI_DL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Lower Right CI (LRCI) at the distal-lingual (DL) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101141800,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_DF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101150100,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_DF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101150200,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_DF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the distal facial (DF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101150300,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_MF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101150400,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_MF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mid-facial (MF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101150500,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_MF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mid-facial (MF) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101150600,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_MeF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101150700,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_MeF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mesial-facial (MeF)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101150800,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_MeF_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mesial-facial (MeF)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101150900,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_MeL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101151000,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_MeL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mesial-lingual (MeL)site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101151100,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_MeL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mesial-lingual (MeL)site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101151200,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_ML_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101151300,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_ML_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mid-lingual (ML) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101151400,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_ML_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the mid-lingual (ML) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101151500,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_DL_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101151600,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_DL_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the distal-lingual (DL) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101151700,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL2M_DL_BOP,"This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 2M (UL2M) at the distal-lingual (DL) site the clinical observation of the presence of blood, Bleeding on Probing (BOP).",DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101151800,,,,,1 = Bleeding from probing detected,2 = No evidence of bleeding,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL1M_DF_FGM_SB,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 1M (UL1M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the sulcus base (SB).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101160100,,,,,0,1,2,3,4,5,6,7,8,9,A = 10 millimeters,B = 11 millimeters,C = 12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX081101_Periodontal_UL1M_DF_FGM_CEJ,This is a clinical examination performed by a dentist or dental hygienist that consists of probing up to 28 teeth at six sites per tooth with a periodontal probe to determine prevalence of periodontal disease. This variable records for tooth Upper Left 1M (UL1M) at the distal facial (DF) site the distance from the free gingival margin (FGM) to the cement-enamel junction (CEJ).,DCW_081101.doc,enumerated,,,,,,,PhenX,PX081101160200,,,,,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,+A = +10 millimeters,+B = +11 millimeters,+C = +12 millimeters,= = Cannot be assessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
